ASNER , 'Lou Grant' star
MONA , 'The Best Little Whorehouse in Texas' woman
STS , 10th, 20th, 30th, etc., in N.Y.C.
ABEL , 1960's-70's steelworkers' chief
BTU , A.C. stat
ASSAY , Analyze
ETRUSCAN , Ancient Italian
OUI , Arles assent
CUTIEPIE , Attractive one
ENGLISHTEALEONI , Aylesbury actress?
NEDS , Beatty and Rorem
ODDS , Bookie's concern
EVENTFUL , Busy
LARGES , Certain soft drink buys
BREAD , Challah, e.g.
SHIN , Clamber up
NEARS , Converges on
GREEKOLIVEOYL , Corinth cartoon character?
ATT , Court fig.
NOVO , De ___ (from the start)
IRENES , Dunne and Ryan
BIN , Dust collector?
BEDE , Eliot's 'Adam ___'
REDFACED , Embarrassed
OMAR , Epps of 'The Mod Squad,' 1999
NEED , Essential
YEAS , First to vote
OTTERS , Frisky critters
ALAR , Fruit spray
OMEN , Harbinger
TVSETS , Idiot boxes
PLED , Implored
MOROSELY , In a sulky way
EGOS , Inflatable things
HAS , Is down with
IMF , Loan-making org.
TOWHEE , Long-tailed finch
LEE , Majors on TV
PIETA , Michelangelo sculpture
NOSIEST , Most curious
OAT , Muffin material
RDA , Nutritional stat
GLUT , Oversupply
PAISANO , Pal
SPANISHMOSSHART , Pamplona playwright?
OMIT , Pass over
IRABU , Pitcher Hideki ___
CONDE , Publisher ___ Nast
LIBELS , Puts down
TOMB , Resting place
STINKO , Ripped
LILAC , Sachet scent
GLIMPSED , Saw
ANNE , See 25-Across
JLO , Self-titled 2001 #1 album
TALIA , Sly's 'Rocky' co-star
SSS , Snake's sound
REEFS , Snorkeling areas
MASERATI , Sports car since 1926
TATER , Spud
TBONES , Steakhouse orders
LARDER , Storage room
ONCE , Storybook beginning
WISEACRES , They may make great comebacks
HOSE , Thoroughly wet, with 'down'
JOANNA , Title girl in a 1983 Kool & the Gang hit
BERET , Top of the military?
OUTSHINE , Upstage
ETE , Vacation time in Valois
AIDES , West Wing workers
STE , With 61-Across, river of Québec
ASCENSION , ___ Day (Holy Thursday)
